utc,jdut,x_km,y_km,z_km
2026-Apr-04 05:02:00.0000,2461134.709722222,-100038.0859506428,-206788.5366964961,-19528.32266187458
2026-Apr-04 05:03:00.0000,2461134.710416667,-100054.6652829302,-206865.3092027078,-19535.20846526737
2026-Apr-04 05:04:00.0000,2461134.711111111,-100071.2332373088,-206942.0574948304,-19542.09199202301
2026-Apr-04 05:05:00.0000,2461134.711805556,-100087.7898237212,-207018.781587983,-19548.97324362028
2026-Apr-04 05:06:00.0000,2461134.7125,-100104.3350520957,-207095.4814972648,-19555.85222153607
2026-Apr-04 05:07:00.0000,2461134.713194444,-100120.8689323469,-207172.157237756,-19562.7289272456
2026-Apr-04 05:08:00.0000,2461134.713888889,-100137.3914743751,-207248.8088245177,-19569.60336222182
2026-Apr-04 05:09:00.0000,2461134.714583333,-100153.9026880669,-207325.4362725918,-19576.47552793605
2026-Apr-04 05:10:00.0000,2461134.715277778,-100170.4025832949,-207402.0395970008,-19583.34542585771
2026-Apr-04 05:11:00.0000,2461134.715972222,-100186.8911699178,-207478.6188127486,-19590.21305745422
2026-Apr-04 05:12:00.0000,2461134.716666667,-100203.3684577805,-207555.1739348196,-19597.0784241912
2026-Apr-04 05:13:00.0000,2461134.717361111,-100219.8344567139,-207631.7049781794,-19603.94152753233
2026-Apr-04 05:14:00.0000,2461134.718055556,-100236.2891765354,-207708.2119577746,-19610.80236893949
2026-Apr-04 05:15:00.0000,2461134.71875,-100252.7326270485,-207784.6948885326,-19617.66094987278
2026-Apr-04 05:16:00.0000,2461134.719444444,-100269.1648180427,-207861.1537853623,-19624.51727179025
2026-Apr-04 05:17:00.0000,2461134.720138889,-100285.5857592942,-207937.5886631534,-19631.37133614795
2026-Apr-04 05:18:00.0000,2461134.720833333,-100301.9954605653,-208013.9995367767,-19638.2231444006
2026-Apr-04 05:19:00.0000,2461134.721527778,-100318.3939316045,-208090.3864210845,-19645.07269800063
2026-Apr-04 05:20:00.0000,2461134.722222222,-100334.781182147,-208166.7493309101,-19651.91999839868
2026-Apr-04 05:21:00.0000,2461134.722916667,-100351.1572219141,-208243.088281068,-19658.76504704362
2026-Apr-04 05:22:00.0000,2461134.723611111,-100367.5220606137,-208319.403286354,-19665.6078453824
2026-Apr-04 05:23:00.0000,2461134.724305556,-100383.8757079401,-208395.6943615456,-19672.44839486039
2026-Apr-04 05:24:00.0000,2461134.725,-100400.2181735741,-208471.9615214009,-19679.28669692074
2026-Apr-04 05:25:00.0000,2461134.725694444,-100416.5494671829,-208548.2047806601,-19686.12275300495
2026-Apr-04 05:26:00.0000,2461134.726388889,-100432.8695984204,-208624.4241540444,-19692.9565645527
2026-Apr-04 05:27:00.0000,2461134.727083333,-100449.1785769269,-208700.6196562568,-19699.78813300181
2026-Apr-04 05:28:00.0000,2461134.727777778,-100465.4764123296,-208776.7913019811,-19706.61745978837
2026-Apr-04 05:29:00.0000,2461134.728472222,-100481.7631142417,-208852.9391058836,-19713.44454634649
2026-Apr-04 05:30:00.0000,2461134.729166667,-100498.0386922638,-208929.0630826115,-19720.26939410847
2026-Apr-04 05:31:00.0000,2461134.729861111,-100514.3031559826,-209005.1632467936,-19727.09200450504
2026-Apr-04 05:32:00.0000,2461134.730555556,-100530.5565149717,-209081.2396130407,-19733.9123789648
2026-Apr-04 05:33:00.0000,2461134.73125,-100546.7987787917,-209157.2921959448,-19740.73051891473
2026-Apr-04 05:34:00.0000,2461134.731944445,-100563.0299569893,-209233.3210100798,-19747.54642578
2026-Apr-04 05:35:00.0000,2461134.732638889,-100579.2500590986,-209309.3260700013,-19754.36010098387
2026-Apr-04 05:36:00.0000,2461134.733333333,-100595.4590946402,-209385.3073902469,-19761.17154594792
2026-Apr-04 05:37:00.0000,2461134.734027778,-100611.6570731216,-209461.2649853355,-19767.98076209193
2026-Apr-04 05:38:00.0000,2461134.734722222,-100627.8440040371,-209537.1988697683,-19774.78775083384
2026-Apr-04 05:39:00.0000,2461134.735416667,-100644.0198968682,-209613.1090580279,-19781.59251358971
2026-Apr-04 05:40:00.0000,2461134.736111111,-100660.1847610828,-209688.9955645791,-19788.39505177409
2026-Apr-04 05:41:00.0000,2461134.736805555,-100676.338606136,-209764.8584038687,-19795.19536679935
2026-Apr-04 05:42:00.0000,2461134.7375,-100692.48144147,-209840.6975903248,-19801.99346007651
2026-Apr-04 05:43:00.0000,2461134.738194444,-100708.6132765137,-209916.5131383584,-19808.78933301455
2026-Apr-04 05:44:00.0000,2461134.738888889,-100724.7341206835,-209992.3050623619,-19815.58298702074
2026-Apr-04 05:45:00.0000,2461134.739583333,-100740.8439833821,-210068.07337671,-19822.37442350053
2026-Apr-04 05:46:00.0000,2461134.740277778,-100756.942874,-210143.8180957592,-19829.16364385777
2026-Apr-04 05:47:00.0000,2461134.740972222,-100773.0308019143,-210219.5392338485,-19835.95064949439
2026-Apr-04 05:48:00.0000,2461134.741666667,-100789.1077764896,-210295.2368052988,-19842.73544181052
